,param,svm-linear,svm-rbf,lg-l1,lg-l2,nn-relu,nn-logistic
0,0.001,0.9648452426442491,0.9896828429499427,0.9957967137944211,0.9679021780664884,0.9992357661444402,0.9992357661444402
1,0.002,0.9724875811998471,0.9935040122277417,0.9957967137944211,0.9690485288498281,0.9992357661444402,0.9988536492166603
2,0.005,0.9919755445166221,0.996178830722201,0.9935040122277417,0.9705769965609476,0.9992357661444402,0.9988536492166603
3,0.01,0.9950324799388612,0.9992357661444402,0.9935040122277417,0.9805120366832251,0.9992357661444402,0.9992357661444402
4,0.02,0.9942682460833014,0.9992357661444402,0.9935040122277417,0.9850974398165838,0.9992357661444402,0.9988536492166603
5,0.05,0.9935040122277417,0.9988536492166603,0.9935040122277417,0.9900649598777226,0.9992357661444402,0.9992357661444402
6,0.1,0.9935040122277417,0.9984715322888804,0.9950324799388612,0.9919755445166221,0.9992357661444402,0.9988536492166603
7,0.2,0.9942682460833014,0.9984715322888804,0.9950324799388612,0.9935040122277417,0.9992357661444402,0.9988536492166603
8,0.5,0.9980894153611005,0.9984715322888804,0.9988536492166603,0.9984715322888804,0.9992357661444402,0.9992357661444402
9,1.0,0.9988536492166603,0.9984715322888804,0.9988536492166603,0.9984715322888804,0.9992357661444402,0.9988536492166603
10,5.0,0.9984715322888804,0.9984715322888804,0.9992357661444402,0.9992357661444402,0.9988536492166603,0.9969430645777608
11,10.0,0.9984715322888804,0.9984715322888804,0.9992357661444402,0.9992357661444402,0.9984715322888804,0.9927397783721819
12,20.0,0.9984715322888804,0.9984715322888804,0.9992357661444402,0.9992357661444402,0.9969430645777608,0.9908291937332824
13,50.0,0.9984715322888804,0.9992357661444402,0.9992357661444402,0.9992357661444402,0.992357661444402,0.984333205961024
14,100.0,0.9988536492166603,0.9992357661444402,0.9988536492166603,0.9992357661444402,0.9900649598777226,0.9724875811998471
15,200.0,0.9988536492166603,0.9996178830722201,0.9988536492166603,0.9992357661444402,0.984333205961024,0.9690485288498281
16,500.0,0.9984715322888804,1.0,0.9988536492166603,0.9988536492166603,0.9705769965609476,0.9667558272831487
17,1000.0,0.9984715322888804,1.0,0.9988536492166603,0.9988536492166603,0.9686664119220482,0.0
18,2000.0,0.9984715322888804,1.0,0.9988536492166603,0.9984715322888804,0.9667558272831487,1.0
19,5000.0,0.9984715322888804,0.9996178830722201,0.9988536492166603,0.9984715322888804,0.0,0.0
